Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,3.164000,3.239000,3.008000,3.013000,3.013000,0
2018-12-01,3.041000,3.041000,2.679000,2.686000,2.686000,0
2019-01-01,2.652000,2.799000,2.554000,2.635000,2.635000,0
2019-02-01,2.631000,2.734000,2.625000,2.711000,2.711000,0
2019-03-01,2.737000,2.759000,2.356000,2.414000,2.414000,0
2019-04-01,2.442000,2.614000,2.424000,2.509000,2.509000,0
2019-05-01,2.504000,2.576000,2.137000,2.142000,2.142000,0
2019-06-01,2.112000,2.174000,1.975000,2.000000,2.000000,0
2019-07-01,2.026000,2.148000,1.943000,2.021000,2.021000,0
2019-08-01,2.028000,2.028000,1.446000,1.506000,1.506000,0
2019-09-01,1.483000,1.903000,1.429000,1.675000,1.675000,0
2019-10-01,1.727000,1.860000,1.510000,1.691000,1.691000,0
2019-11-01,1.677000,1.971000,1.670000,1.776000,1.776000,0
2019-12-01,1.833000,1.949000,1.693000,1.919000,1.919000,0
2020-01-01,1.903000,1.903000,1.512000,1.520000,1.520000,0
2020-02-01,1.555000,1.668000,1.127000,1.127000,1.127000,0
2020-03-01,1.067000,1.266000,0.398000,0.698000,0.698000,0
2020-04-01,0.610000,0.784000,0.543000,0.622000,0.622000,0
2020-05-01,0.613000,0.745000,0.590000,0.648000,0.648000,0
2020-06-01,0.667000,0.957000,0.619000,0.653000,0.653000,0
2020-07-01,0.681000,0.724000,0.528000,0.536000,0.536000,0
2020-08-01,0.559000,0.746000,0.504000,0.693000,0.693000,0
2020-09-01,0.720000,0.729000,0.606000,0.677000,0.677000,0
2020-10-01,0.701000,0.872000,0.653000,0.860000,0.860000,0
2020-11-01,0.854000,0.975000,0.748000,0.844000,0.844000,0
2020-12-01,0.857000,0.986000,0.857000,0.917000,0.917000,0
2021-01-01,0.935000,1.187000,0.907000,1.093000,1.093000,0
2021-02-01,1.079000,1.614000,1.060000,1.460000,1.460000,0
2021-03-01,1.451000,1.765000,1.403000,1.746000,1.746000,0
2021-04-01,1.705000,1.745000,1.529000,1.631000,1.631000,0
2021-05-01,1.651000,1.700000,1.471000,1.581000,1.581000,0
2021-06-01,1.625000,1.639000,1.438000,1.443000,1.443000,0
2021-07-01,1.471000,1.485000,1.128000,1.239000,1.239000,0
2021-08-01,1.231000,1.379000,1.129000,1.304000,1.304000,0
2021-09-01,1.311000,1.567000,1.260000,1.529000,1.529000,0
2021-10-01,1.496000,1.691000,1.463000,1.557000,1.557000,0
2021-11-01,1.587000,1.693000,1.412000,1.443000,1.443000,0
2021-12-01,1.482000,1.558000,1.343000,1.512000,1.512000,0
2022-01-01,1.534000,1.874000,1.533000,1.782000,1.782000,0
2022-02-01,1.750000,2.065000,1.743000,1.839000,1.839000,0
2022-03-01,1.734000,2.503000,1.682000,2.327000,2.327000,0
2022-04-01,2.404000,2.954000,2.357000,2.887000,2.887000,0
2022-05-01,2.922000,3.167000,2.708000,2.844000,2.844000,0
2022-06-01,2.871000,3.483000,2.833000,2.972000,2.972000,0
2022-07-01,2.932000,3.101000,2.618000,2.642000,2.642000,0
2022-08-01,2.658000,3.151000,2.525000,3.133000,3.133000,0
2022-09-01,3.217000,3.992000,3.176000,3.804000,3.804000,0
2022-10-01,3.712000,4.333000,3.564000,4.077000,4.077000,0
2022-11-01,3.937000,4.223000,3.668000,3.703000,3.703000,0
2022-12-01,3.594000,3.905000,3.402000,3.879000,3.879000,0
2023-01-01,3.758000,3.810000,3.373000,3.529000,3.529000,0
2023-02-01,3.475000,3.983000,3.334000,3.916000,3.916000,0
2023-03-01,3.940000,4.091000,3.295000,3.494000,3.494000,0
2023-04-01,3.517000,3.639000,3.253000,3.452000,3.452000,0
2023-05-01,3.501000,3.859000,3.296000,3.637000,3.637000,0
2023-06-01,3.650000,3.872000,3.570000,3.819000,3.819000,0
2023-07-01,3.864000,4.094000,3.735000,3.959000,3.959000,0
2023-08-01,4.001000,4.362000,3.957000,4.093000,4.093000,0
2023-09-01,4.097000,4.688000,4.060000,4.573000,4.573000,0
2023-10-01,4.631000,4.996000,4.532000,4.924000,4.924000,0
